algorithm,step,exact_match
GRPO,0,0.580
GRPO,10,0.590
GRPO,20,0.650
GRPO,30,0.650
GRPO,40,0.710
GRPO,50,0.700
GRPO,60,0.700
GRPO,70,0.700
GRPO,80,0.660
GRPO,90,0.700
GRPO,100,0.670
GRPO,110,0.660
GRPO,120,0.640
GRPO,130,0.660
GRPO,140,0.640
GRPO,150,0.630
GRPO,160,0.650
GRPO,170,0.670
GRPO,180,0.680
GRPO,190,0.670
GRPO,200,0.660
GSPO,0,0.580
GSPO,10,0.570
GSPO,20,0.610
GSPO,30,0.590
GSPO,40,0.600
GSPO,50,0.610
GSPO,60,0.640
GSPO,70,0.640
GSPO,80,0.650
GSPO,90,0.660
GSPO,100,0.660
GSPO,110,0.660
GSPO,120,0.670
GSPO,130,0.690
GSPO,140,0.710
GSPO,150,0.720
GSPO,160,0.720
GSPO,170,0.700
GSPO,180,0.700
GSPO,190,0.680
GSPO,200,0.690
